transaction_id,amount,hour,country,merchant_category,device,country_risk_score,is_fraud
T001860,22.63,21,CH,restaurant,mobile,0.157,0
T000353,22.29,22,CH,fuel,mobile,0.05,0
T001333,60.01,10,IT,retail,mobile,0.124,0
T000905,25.23,22,FR,retail,pos,0.102,0
T001289,6.74,17,DE,grocery,mobile,0.072,0
T001273,20.29,22,FR,restaurant,mobile,0.098,0
T000938,28.4,18,CH,grocery,desktop,0.038,0
T001731,19.89,11,IT,retail,mobile,0.132,0
T000065,55.35,10,CH,grocery,mobile,0.177,0
T001323,32.85,6,CH,fuel,mobile,0.164,0
T000056,14.83,13,CH,grocery,desktop,0.036,0
T001292,24.44,9,DE,retail,desktop,0.15,0
T001118,27.68,19,CH,fuel,desktop,0.011,0
T000584,27.36,20,CH,fuel,pos,0.062,0
T000374,89.29,10,CH,retail,mobile,0.121,0
T000275,32.37,14,CH,fuel,pos,0.095,0
T000746,27.44,9,CH,restaurant,desktop,0.191,0
T000128,26.04,7,IT,retail,mobile,0.104,0
T001646,21.93,6,CH,retail,mobile,0.114,0
T001852,11.99,20,CH,grocery,desktop,0.194,0
T000674,10.54,13,DE,fuel,pos,0.116,0
T001664,53.42,7,FR,retail,mobile,0.173,0
T001981,86.23,5,US,travel,unknown,0.786,1
T001083,85.29,16,CH,grocery,mobile,0.126,0
T001922,12.89,10,FR,grocery,mobile,0.109,0
T000099,21.31,11,DE,restaurant,desktop,0.126,0
T001179,12.65,8,FR,fuel,desktop,0.076,0
T000964,23.25,12,CH,grocery,pos,0.101,0
T000792,28.87,16,CH,retail,mobile,0.034,0
T000029,20.59,13,DE,restaurant,mobile,0.096,0
T000628,25.37,15,CH,restaurant,mobile,0.155,0
T000944,74.29,12,CH,grocery,desktop,0.03,0
T000572,29.85,17,CH,fuel,desktop,0.188,0
T000907,38.39,8,CH,fuel,desktop,0.193,0
T001080,19.9,22,CH,fuel,desktop,0.02,0
T000450,23.63,9,FR,retail,pos,0.125,0
T001609,21.09,20,CH,restaurant,mobile,0.058,0
T001290,30.97,13,CH,retail,pos,0.105,0
T001078,60.37,17,CH,retail,desktop,0.191,0
T000254,9.86,12,DE,retail,pos,0.146,0
T000124,34.89,18,CH,retail,mobile,0.145,0
T001927,20.66,17,IT,retail,desktop,0.043,0
T000251,42.55,7,IT,retail,pos,0.038,0
