transaction_id,amount,hour,country,merchant_category,device,country_risk_score,is_fraud,log_amount,is_night,is_high_risk_country,fraud_probability,fraud_label,risk_level
T001860,22.63,21,CH,restaurant,mobile,0.157,0,3.1625170911988163,0,0,0.0,0,
T000353,22.29,22,CH,fuel,mobile,0.05,0,3.1480240838962494,0,0,0.0,0,
T001333,60.01,10,IT,retail,mobile,0.124,0,4.111037785163761,0,0,0.0,0,
T000905,25.23,22,FR,retail,pos,0.102,0,3.2669037938787824,0,0,0.0,0,
T001289,6.74,17,DE,grocery,mobile,0.072,0,2.046401687601636,0,0,0.0,0,
T001273,20.29,22,FR,restaurant,mobile,0.098,0,3.058237478905388,0,0,0.0,0,
T000938,28.4,18,CH,grocery,desktop,0.038,0,3.380994674344636,0,0,0.0,0,
T001731,19.89,11,IT,retail,mobile,0.132,0,3.0392705755684744,0,0,0.0,0,
T000065,55.35,10,CH,grocery,mobile,0.177,0,4.031582240485785,0,0,0.0,0,
T001323,32.85,6,CH,fuel,mobile,0.164,0,3.521938999358284,1,0,0.0,0,
T000056,14.83,13,CH,grocery,desktop,0.036,0,2.761906873892921,0,0,0.0,0,
T001292,24.44,9,DE,retail,desktop,0.15,0,3.2363227384719213,0,0,0.0,0,
T001118,27.68,19,CH,fuel,desktop,0.011,0,3.3562000157314196,0,0,0.0,0,
T000584,27.36,20,CH,fuel,pos,0.062,0,3.344979701663927,0,0,0.0,0,
T000374,89.29,10,CH,retail,mobile,0.121,0,4.503026712319388,0,0,0.0,0,
T000275,32.37,14,CH,fuel,pos,0.095,0,3.5076572927632825,0,0,0.0,0,
T000746,27.44,9,CH,restaurant,desktop,0.191,0,3.34779660493504,0,0,0.0,0,
T000128,26.04,7,IT,retail,mobile,0.104,0,3.2973172511747633,0,0,0.0,0,
T001646,21.93,6,CH,retail,mobile,0.114,0,3.132446096869813,1,0,0.0,0,
T001852,11.99,20,CH,grocery,desktop,0.194,0,2.5641798306825083,0,0,0.0,0,
T000674,10.54,13,DE,fuel,pos,0.116,0,2.4458192610799534,0,0,0.0,0,
T001664,53.42,7,FR,retail,mobile,0.173,0,3.9967317333551002,0,0,0.0,0,
T001981,86.23,5,US,travel,unknown,0.786,1,4.468548308445127,1,1,1.0,1,HIGH
T001083,85.29,16,CH,grocery,mobile,0.126,0,4.4577137165202165,0,0,0.0,0,
T001922,12.89,10,FR,grocery,mobile,0.109,0,2.6311691567662523,0,0,0.0,0,
T000099,21.31,11,DE,restaurant,desktop,0.126,0,3.105035008444441,0,0,0.0,0,
T001179,12.65,8,FR,fuel,desktop,0.076,0,2.613739521630969,0,0,0.0,0,
T000964,23.25,12,CH,grocery,pos,0.101,0,3.188416617383492,0,0,0.0,0,
T000792,28.87,16,CH,retail,mobile,0.034,0,3.3968546322280186,0,0,0.0,0,
T000029,20.59,13,DE,restaurant,mobile,0.096,0,3.072230244526716,0,0,0.0,0,
T000628,25.37,15,CH,restaurant,mobile,0.155,0,3.2722270003651954,0,0,0.0,0,
T000944,74.29,12,CH,grocery,desktop,0.03,0,4.321347323862031,0,0,0.0,0,
T000572,29.85,17,CH,fuel,desktop,0.188,0,3.4291367503513968,0,0,0.0,0,
T000907,38.39,8,CH,fuel,desktop,0.193,0,3.6735119769828146,0,0,0.0,0,
T001080,19.9,22,CH,fuel,desktop,0.02,0,3.039749158970765,0,0,0.0,0,
T000450,23.63,9,FR,retail,pos,0.125,0,3.2039652121324464,0,0,0.0,0,
T001609,21.09,20,CH,restaurant,mobile,0.058,0,3.095125017432026,0,0,0.0,0,
T001290,30.97,13,CH,retail,pos,0.105,0,3.4647979630717503,0,0,0.0,0,
T001078,60.37,17,CH,retail,desktop,0.191,0,4.116921116401006,0,0,0.0,0,
T000254,9.86,12,DE,retail,pos,0.146,0,2.3850863145057892,0,0,0.0,0,
T000124,34.89,18,CH,retail,mobile,0.145,0,3.580458705159516,0,0,0.0,0,
T001927,20.66,17,IT,retail,desktop,0.043,0,3.0754672415728446,0,0,0.0,0,
T000251,42.55,7,IT,retail,pos,0.038,0,3.7739097032985116,0,0,0.0,0,
T000585,28.47,12,CH,restaurant,mobile,0.045,0,3.3833727967496032,0,0,0.0,0,
T001568,9.61,22,CH,restaurant,mobile,0.016,0,2.361796952625892,0,0,0.0,0,
T000824,18.78,18,IT,fuel,desktop,0.124,0,2.984671326194566,0,0,0.0,0,
T000507,14.61,11,FR,fuel,desktop,0.049,0,2.7479117345273405,0,0,0.0,0,
T000889,47.71,20,CH,restaurant,desktop,0.13,0,3.8858843478184513,0,0,0.0,0,
T000070,30.47,14,IT,fuel,mobile,0.198,0,3.4490347110763153,0,0,0.0,0,
T001608,29.78,11,CH,retail,pos,0.138,0,3.426865128410733,0,0,0.0,0,
T001532,29.78,15,CH,fuel,mobile,0.19,0,3.426865128410733,0,0,0.0,0,
T000247,16.58,17,CH,restaurant,mobile,0.06,0,2.866761892257031,0,0,0.0,0,
T001450,29.53,9,CH,grocery,pos,0.146,0,3.4187098067467865,0,0,0.0,0,
