starttime;site;masl;magl;x;y;sensor;temperature;humidity
2025-01-01 00:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.45;97.06
2025-01-01 00:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.47;97
2025-01-01 00:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.48;96.97
2025-01-01 00:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.62;96.91
2025-01-01 00:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.84;96.7
2025-01-01 00:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.04;96.61
2025-01-01 01:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.9;96.52
2025-01-01 01:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.06;96.58
2025-01-01 01:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.14;96.55
2025-01-01 01:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.26;96.36
2025-01-01 01:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.36;96.39
2025-01-01 01:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.18;96.46
2025-01-01 02:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.47;96.3
2025-01-01 02:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.01;96.41
2025-01-01 02:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.12;96.23
2025-01-01 02:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.81;96.39
2025-01-01 02:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.76;96.36
2025-01-01 02:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.84;96.33
2025-01-01 03:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.95;96.16
2025-01-01 03:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.26;96.17
2025-01-01 03:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.44;96.24
2025-01-01 03:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.26;96.48
2025-01-01 03:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.32;96.42
2025-01-01 03:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.14;96.43
2025-01-01 04:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.04;96.13
2025-01-01 04:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.91;96.01
2025-01-01 04:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.04;95.76
2025-01-01 04:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.95;95.82
2025-01-01 04:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.74;95.88
2025-01-01 04:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.86;96.02
2025-01-01 05:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.04;96.04
2025-01-01 05:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.14;96.04
2025-01-01 05:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.21;96.09
2025-01-01 05:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.23;96.12
2025-01-01 05:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.43;95.96
2025-01-01 05:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.49;96.24
2025-01-01 06:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.21;96.68
2025-01-01 06:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.35;96.59
2025-01-01 06:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.33;96.51
2025-01-01 06:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.44;96.39
2025-01-01 06:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.39;96.68
2025-01-01 06:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.25;96.87
2025-01-01 07:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-3.1;97.03
2025-01-01 07:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.98;97.12
2025-01-01 07:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.85;97.18
2025-01-01 07:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.82;97.16
2025-01-01 07:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.76;97.18
2025-01-01 08:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.51;97.17
2025-01-01 08:10;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.38;96.63
2025-01-01 08:20;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.58;96.77
2025-01-01 08:30;Bülach - Feldermösli;417;2;2682216;1262843;531;-2.15;96.53
2025-01-01 08:40;Bülach - Feldermösli;417;2;2682216;1262843;531;-1.76;96.11
2025-01-01 08:50;Bülach - Feldermösli;417;2;2682216;1262843;531;-1.07;95.03
2025-01-01 09:00;Bülach - Feldermösli;417;2;2682216;1262843;531;-0.47;93.21
2025-01-01 09:10;Bülach - Feldermösli;417;2;2682216;1262843;531;0.26;91.08
2025-01-01 09:20;Bülach - Feldermösli;417;2;2682216;1262843;531;1.58;87.12
2025-01-01 09:30;Bülach - Feldermösli;417;2;2682216;1262843;531;2.46;83
2025-01-01 09:40;Bülach - Feldermösli;417;2;2682216;1262843;531;2.56;81.1
2025-01-01 09:50;Bülach - Feldermösli;417;2;2682216;1262843;531;2.64;81.35
2025-01-01 10:00;Bülach - Feldermösli;417;2;2682216;1262843;531;2.9;79.85
2025-01-01 10:10;Bülach - Feldermösli;417;2;2682216;1262843;531;2.83;79.24
2025-01-01 10:20;Bülach - Feldermösli;417;2;2682216;1262843;531;3.26;79.32
2025-01-01 10:30;Bülach - Feldermösli;417;2;2682216;1262843;531;3.79;76.16
2025-01-01 10:40;Bülach - Feldermösli;417;2;2682216;1262843;531;4.19;76.57
2025-01-01 10:50;Bülach - Feldermösli;417;2;2682216;1262843;531;4.68;72.9
2025-01-01 11:00;Bülach - Feldermösli;417;2;2682216;1262843;531;4.34;74.66
2025-01-01 11:10;Bülach - Feldermösli;417;2;2682216;1262843;531;4.56;72.89
2025-01-01 11:20;Bülach - Feldermösli;417;2;2682216;1262843;531;4.31;74.04
2025-01-01 11:30;Bülach - Feldermösli;417;2;2682216;1262843;531;4.58;72.69
2025-01-01 11:40;Bülach - Feldermösli;417;2;2682216;1262843;531;4.67;72.9
2025-01-01 11:50;Bülach - Feldermösli;417;2;2682216;1262843;531;4.8;72.29
2025-01-01 12:00;Bülach - Feldermösli;417;2;2682216;1262843;531;5.05;71.19
2025-01-01 12:10;Bülach - Feldermösli;417;2;2682216;1262843;531;5.16;71.61
2025-01-01 12:30;Bülach - Feldermösli;417;2;2682216;1262843;531;6.06;72.23
2025-01-01 12:40;Bülach - Feldermösli;417;2;2682216;1262843;531;6.1;70.55
2025-01-01 12:50;Bülach - Feldermösli;417;2;2682216;1262843;531;5.93;70.52
2025-01-01 13:00;Bülach - Feldermösli;417;2;2682216;1262843;531;5.97;69.44
2025-01-01 13:10;Bülach - Feldermösli;417;2;2682216;1262843;531;5.97;70.96
2025-01-01 13:20;Bülach - Feldermösli;417;2;2682216;1262843;531;5.94;71.94
2025-01-01 13:30;Bülach - Feldermösli;417;2;2682216;1262843;531;5.99;72.52
2025-01-01 13:40;Bülach - Feldermösli;417;2;2682216;1262843;531;6.32;71.23
2025-01-01 13:50;Bülach - Feldermösli;417;2;2682216;1262843;531;6.52;70.81
2025-01-01 14:00;Bülach - Feldermösli;417;2;2682216;1262843;531;6.32;70.61
2025-01-01 14:10;Bülach - Feldermösli;417;2;2682216;1262843;531;6.22;70.1
2025-01-01 14:20;Bülach - Feldermösli;417;2;2682216;1262843;531;6.32;71.1
2025-01-01 14:30;Bülach - Feldermösli;417;2;2682216;1262843;531;6.77;67.33
2025-01-01 14:40;Bülach - Feldermösli;417;2;2682216;1262843;531;6.33;70.19
2025-01-01 14:50;Bülach - Feldermösli;417;2;2682216;1262843;531;5.8;71.24
2025-01-01 15:00;Bülach - Feldermösli;417;2;2682216;1262843;531;5.29;72.44
2025-01-01 15:10;Bülach - Feldermösli;417;2;2682216;1262843;531;4.9;73.89
2025-01-01 15:20;Bülach - Feldermösli;417;2;2682216;1262843;531;4.58;74.76
2025-01-01 15:30;Bülach - Feldermösli;417;2;2682216;1262843;531;3.86;77.71
2025-01-01 15:40;Bülach - Feldermösli;417;2;2682216;1262843;531;4.81;74.17
2025-01-01 15:50;Bülach - Feldermösli;417;2;2682216;1262843;531;4.34;76.19
2025-01-01 16:00;Bülach - Feldermösli;417;2;2682216;1262843;531;4.1;75.82
2025-01-01 16:10;Bülach - Feldermösli;417;2;2682216;1262843;531;5.09;70.54
2025-01-01 16:20;Bülach - Feldermösli;417;2;2682216;1262843;531;4.73;71.71
2025-01-01 16:30;Bülach - Feldermösli;417;2;2682216;1262843;531;3.85;75.98
2025-01-01 16:40;Bülach - Feldermösli;417;2;2682216;1262843;531;3.24;78.64
2025-01-01 16:50;Bülach - Feldermösli;417;2;2682216;1262843;531;3.23;79.98
2025-01-01 17:00;Bülach - Feldermösli;417;2;2682216;1262843;531;3.3;79.37
2025-01-01 17:10;Bülach - Feldermösli;417;2;2682216;1262843;531;2.98;80.23
2025-01-01 17:20;Bülach - Feldermösli;417;2;2682216;1262843;531;3.15;80.14
2025-01-01 17:30;Bülach - Feldermösli;417;2;2682216;1262843;531;2.86;80.91
2025-01-01 17:40;Bülach - Feldermösli;417;2;2682216;1262843;531;3.08;79.81
