vote_date;proposal_id;proposal_name;region_type;region_id;region_name;parent_canton_id;parent_canton_name;yes_votes_count;no_votes_count;cast_votes_count;eligible_voters_count
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;1;Zürich;1;Zürich;238179;357691;599644;982722
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;2;Bern;2;Bern;198710;246796;448348;748021
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;3;Luzern;3;Luzern;89920;93552;185647;289486
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;4;Uri;4;Uri;10229;6847;17299;27244
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;5;Schwyz;5;Schwyz;46819;27271;74404;109531
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;6;Obwalden;6;Obwalden;10892;7732;18916;27967
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;7;Nidwalden;7;Nidwalden;12162;8759;21203;32134
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;8;Glarus;8;Glarus;9012;6368;15674;26857
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;9;Zug;9;Zug;25724;28274;54283;80118
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;10;Freiburg;10;Freiburg;55807;67865;125219;220942
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;11;Solothurn;11;Solothurn;54436;52989;108122;184392
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;12;Basel-Stadt;12;Basel-Stadt;18555;51418;70672;114902
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;13;Basel-Landschaft;13;Basel-Landschaft;49114;62177;113862;192865
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;14;Schaffhausen;14;Schaffhausen;19411;20017;40741;55011
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;15;Appenzell Ausserrhoden;15;Appenzell Ausserrhoden;13252;11651;25196;39570
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;16;Appenzell Innerrhoden;16;Appenzell Innerrhoden;5270;2725;8114;12493
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;17;St. Gallen;17;St. Gallen;106905;91965;199748;335066
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;18;Graubünden;18;Graubünden;40742;43253;85167;143330
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;19;Aargau;19;Aargau;136398;130805;268517;450411
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;20;Thurgau;20;Thurgau;59219;47772;109558;183002
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;21;Tessin;21;Tessin;57121;55632;114565;226935
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;canton;22;Waadt;22;Waadt;91693;166366;261273;487995
