vote_date;proposal_id;proposal_name;settlement_type;language_group;yes_votes_count;no_votes_count;cast_votes_count;eligible_voters_count
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Schweiz;Deutsche Schweiz;1168426;1318689;2509821;4100299
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Schweiz;Französische Schweiz;263826;431981;705884;1330388
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Schweiz;Italienische Schweiz;60598;58563;121112;238426
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Kernstadt;Deutsche Schweiz;141717;360724;506608;801415
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Kernstadt;Französische Schweiz;40849;99622;142083;268121
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Kernstadt;Italienische Schweiz;19365;20354;40314;82982
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Übriger städtischer Raum;Deutsche Schweiz;469450;526026;1004826;1668474
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Übriger städtischer Raum;Französische Schweiz;93356;160111;257245;470552
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Übriger städtischer Raum;Italienische Schweiz;19652;19657;39962;77086
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Intermediär;Deutsche Schweiz;307038;262499;574747;917778
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Intermediär;Französische Schweiz;65626;94204;162323;296268
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Intermediär;Italienische Schweiz;13934;12232;26597;51237
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Ländlich;Deutsche Schweiz;242884;152829;399538;627161
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Ländlich;Französische Schweiz;57700;62584;122140;216365
2026-06-14;6860;Volksinitiative «Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative)»;Ländlich;Italienische Schweiz;7647;6320;14239;27121
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Schweiz;Deutsche Schweiz;1306033;1118327;2477879;4100299
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Schweiz;Französische Schweiz;321234;360232;704475;1330388
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Schweiz;Italienische Schweiz;63349;53590;120706;238426
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Kernstadt;Deutsche Schweiz;191152;298911;502320;801415
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Kernstadt;Französische Schweiz;51397;86157;141890;268121
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Kernstadt;Italienische Schweiz;20438;18490;40071;82982
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Übriger städtischer Raum;Deutsche Schweiz;539807;430394;990640;1668474
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Übriger städtischer Raum;Französische Schweiz;118007;130029;257107;470552
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Übriger städtischer Raum;Italienische Schweiz;21034;17665;39942;77086
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Intermediär;Deutsche Schweiz;326391;229004;567146;917778
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Intermediär;Französische Schweiz;78735;77925;161815;296268
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Intermediär;Italienische Schweiz;14092;11585;26534;51237
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Ländlich;Deutsche Schweiz;236283;149040;393861;627161
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Ländlich;Französische Schweiz;62354;55690;121570;216365
2026-06-14;6870;Änderung des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);Ländlich;Italienische Schweiz;7785;5850;14159;27121
