,Faktor1,Faktor2,Faktor3,Faktor4
Pop: Kompromiss=Verrat,0.32422008289701304,-0.094823098061524,0.6019927002326328,-0.23605321336579368
Pop: Volk soll entscheiden,0.2285051975905078,-0.07211707362129631,0.7462687974463833,-0.05925162002234623
Pop: Abg. setzen Volkswillen um,0.0920772562519698,-0.14353637680286413,0.697008390288786,0.20761691559808196
Pop: Kluft Eliten/Volk,0.15142580630960367,0.1864208607882674,0.6395555147576663,0.05267489369067642
Pop: Buerger bessere Vertretung,0.27017076839781684,0.07698905573822372,0.715043239838317,-0.07825691310414584
Pop: Politiker reden zu viel,0.3941776809368305,-0.12051875535015279,0.5998961665343998,-0.016634137392943536
Pop: starke:r Fuehrer:in gut,0.1137374397251442,-0.3786847959346619,0.47626447174657194,-0.260482408553211
Pop: Gerichte stoppen Reg.,0.05970198566625698,0.0645882700668709,0.09978472733907782,0.7423522401504559
Pop: Demokratie vorzuziehen,-0.198582751438713,-0.020903397239146228,-0.10092534604885794,0.7164517971833545
Vertr: Bundesregierung,0.8573947850857072,-0.09660107279864869,0.3004564712316722,-0.09924708540099854
Vertr: Bundestag,0.8453306680449537,-0.07405358731393144,0.282614395047917,-0.13451556432570463
Vertr: Parteien,0.8940077055931646,-0.0351458291900755,0.19471810525329203,-0.013420746431039174
Vertr: Politiker:innen,0.8721704987922595,-0.030689248410569653,0.24294598119029867,-0.016003439668003123
Links-Rechts (Ego),-0.08638105184955795,0.7992278371122696,-0.1645040158549995,0.043095481120526496
Einkommen verringern,-0.04095370603152937,0.7989303470297024,0.13774371608395375,-0.010841588925797865
EU-Einigung vorantreiben,-0.3668097957306903,0.26974382254155765,-0.33310743447795543,0.3098239934717122
