Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
LogisticRegression,0.9883040935672515,0.9875146028037383,0.9981016355140186,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.04544401168823242
Perceptron,0.9824561403508771,0.9797021028037383,0.9963492990654206,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.027313947677612305
SGDClassifier,0.9824561403508771,0.9797021028037383,0.9960572429906542,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.04414558410644531
SVC,0.9766081871345029,0.9750292056074766,0.9978095794392523,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.05388236045837402
ExtraTreesClassifier,0.9707602339181286,0.9640771028037383,0.9930636682242991,0.9706114749238687,0.971110588194281,0.9707602339181286,0.2239992618560791
LinearSVC,0.9649122807017544,0.9594042056074766,0.9944509345794392,0.9647962498839692,0.964964200972986,0.9649122807017544,0.04446768760681152
CalibratedClassifierCV,0.9649122807017544,0.953125,0.9963492990654206,0.9645279368316471,0.9667753454432543,0.9649122807017544,0.10103797912597656
LabelSpreading,0.9590643274853801,0.9578709112149533,,0.959126899754755,0.9592586934195674,0.9590643274853801,0.06322622299194336
LabelPropagation,0.9590643274853801,0.9578709112149533,,0.959126899754755,0.9592586934195674,0.9590643274853801,0.05738544464111328
BaggingClassifier,0.9590643274853801,0.9515917056074766,0.9920414719626168,0.9588560648934163,0.9592865671381634,0.9590643274853801,0.09828519821166992
AdaBoostClassifier,0.9590643274853801,0.9484521028037383,0.990946261682243,0.9586996038189173,0.9601351542698554,0.9590643274853801,0.2524881362915039
KNeighborsClassifier,0.9590643274853801,0.9453125,0.9826956775700935,0.9585285402904317,0.9615779214117164,0.9590643274853801,0.06543207168579102
PassiveAggressiveClassifier,0.9473684210526315,0.9422459112149533,0.9906542056074766,0.9472836091327017,0.9472678610105512,0.9473684210526315,0.028414011001586914
NuSVC,0.9473684210526315,0.9296875,0.9897780373831776,0.9464402234814152,0.9514519056261342,0.9473684210526315,0.05091738700866699
BernoulliNB,0.9415204678362573,0.9407126168224299,0.9883177570093458,0.9416944635415341,0.9421381737171212,0.9415204678362573,0.03127932548522949
RidgeClassifierCV,0.9415204678362573,0.9250146028037383,0.9931366822429907,0.9406248353616775,0.9443463731793251,0.9415204678362573,0.04813408851623535
RidgeClassifier,0.9415204678362573,0.9250146028037383,0.9935747663551402,0.9406248353616775,0.9443463731793251,0.9415204678362573,0.030302047729492188
RandomForestClassifier,0.935672514619883,0.9297605140186915,0.991311331775701,0.9355688556066355,0.9355332776385409,0.935672514619883,0.30279111862182617
GaussianNB,0.935672514619883,0.9266209112149533,0.9891939252336449,0.9353452448325115,0.9356385250259279,0.935672514619883,0.030562877655029297
LinearDiscriminantAnalysis,0.935672514619883,0.9172021028037383,0.985251168224299,0.9345380509217297,0.9392527819025097,0.935672514619883,0.1611158847808838
NearestCentroid,0.9298245614035088,0.9125292056074766,0.9887558411214954,0.928749802434013,0.9322218589953144,0.9298245614035088,0.07883858680725098
DecisionTreeClassifier,0.9181286549707602,0.9126022196261683,0.9126022196261683,0.9181286549707602,0.9181286549707602,0.9181286549707602,0.04867672920227051
ExtraTreeClassifier,0.9122807017543859,0.9173481308411215,0.9173481308411215,0.9130717292425913,0.9169854212997283,0.9122807017543859,0.029675722122192383
DummyClassifier,0.6257309941520468,0.5,0.5,0.48167781564222306,0.3915392770425088,0.6257309941520468,0.037850379943847656
